MARCA,CAMPUS
UAM,OURINHOS - CENTRO
UAM,PALMAS - TAQUARALTO
UAM,PAULÍNIA
UAM,PENÁPOLIS - CENTRO
UAM,PETROLINA - CENTRO
UAM,PIEDADE - CENTRO
UAM,PINDAMONHANGABA
UAM,PIRACICABA
UAM,PIRACICABA - CENTRO
UAM,PIRASSUNUNGA - CENTRO
UAM,POÁ
UAM,POÇOS DE CALDAS - CENTRO
UAM,PONTA GROSSA - CENTRO
UAM,PONTA PORÃ
UAM,PORTEL - CENTRO
UAM,PORTO FERREIRA - CENTRO
UAM,PORTO VELHO
UAM,POUSO ALEGRE - CENTRO
UAM,PRAIA GRANDE
UAM,PRESIDENTE PRUDENTE - CENTRO I
UAM,REGISTRO - CENTRO I
UAM,RIBEIRÃO PIRES
UAM,RIBEIRÃO PRETO - CENTRO
UAM,RIO CLARO - CENTRO
UAM,RIO DE JANEIRO - BOTAFOGO
UAM,RIO DE JANEIRO - CAMPO GRANDE
UAM,RIO DE JANEIRO - CASCADURA
UAM,RIO DE JANEIRO - COPACABANA
UAM,RONDONÓPOLIS - CENTRO II
UAM,SALTO
UAM,SANTA BÁRBARA D'OESTE - CENTRO I
UAM,SANTA ISABEL - CENTRO
UAM,SANTA LUZIA
UAM,SANTANA DE PARNAÍBA
UAM,SANTO ANDRÉ - CENTRO
UAM,SANTO ANDRÉ - PARQUE DAS NAÇÕES
UAM,SANTOS
UAM,SANTOS - GONZAGA
UAM,SÃO BERNARDO DO CAMPO - ASSUNÇÃO
UAM,SÃO BERNARDO DO CAMPO - AV. KENNEDY
UAM,SÃO BERNARDO DO CAMPO - MARECHAL
UAM,SÃO BERNARDO DO CAMPO - RUDGE RAMOS
UAM,SÃO CAETANO DO SUL - CENTRO
UAM,SÃO CARLOS
UAM,SÃO JOÃO DA BOA VISTA
UAM,SÃO JOSÉ - FORQUILHINHA
UAM,SÃO JOSÉ DO RIO PRETO
UAM,SÃO JOSÉ DO RIO PRETO - CONSTITUIÇÃO
UAM,SÃO JOSÉ DOS CAMPOS
UAM,SÃO JOSÉ DOS CAMPOS - JARDIM AQUARIUS
UAM,SÃO JOSÉ DOS CAMPOS - JARDIM SATÉLITE
UAM,SÃO LUÍS - TURU
UAM,SÃO PAULO - ANÁLIA FRANCO
UAM,SÃO PAULO - ARICANDUVA
UAM,SÃO PAULO - AVENIDA MATEO BEI
UAM,SÃO PAULO - AVENIDA PAULISTA
UAM,SÃO PAULO - BARRA FUNDA
UAM,SÃO PAULO - BUTANTÃ
UAM,SÃO PAULO - CIDADE TIRADENTES
UAM,SÃO PAULO - FREGUESIA DO Ó
UAM,SÃO PAULO - GRAJAÚ CENTRO
UAM,SÃO PAULO - GUAIANASES I
UAM,SÃO PAULO - INTERLAGOS AUTÓDROMO
UAM,SÃO PAULO - IPIRANGA
UAM,SÃO PAULO - ITAQUERA
UAM,SÃO PAULO - LAPA
UAM,SÃO PAULO - LIBERDADE CENTRO
UAM,SÃO PAULO - M'BOI MIRIM
UAM,SÃO PAULO - METRÔ CAMPO LIMPO
UAM,SÃO PAULO - METRÔ JABAQUARA
UAM,SÃO PAULO - METRÔ PATRIARCA
UAM,SÃO PAULO - METRÔ SÃO LUCAS
UAM,SÃO PAULO - METRÔ VILA SÔNIA
UAM,SÃO PAULO - MOOCA
UAM,SÃO PAULO - MORUMBI II
UAM,SÃO PAULO - PARADA DE TAIPAS
UAM,SÃO PAULO - PENHA
UAM,SÃO PAULO - PINHEIROS
UAM,SÃO PAULO - PIRITUBA
UAM,SÃO PAULO - SABARÁ - CAMPO GRANDE
UAM,SÃO PAULO - SANTANA
UAM,SÃO PAULO - SANTO AMARO ADOLFO PINHEIRO
UAM,SÃO PAULO - SÃO MIGUEL PAULISTA
UAM,SÃO PAULO - SAÚDE
UAM,SÃO PAULO - TATUAPÉ
UAM,SÃO PAULO - TUCURUVI
UAM,SÃO PAULO - VILA MARIANA II
UAM,SÃO PAULO - VILA OLÍMPIA
UAM,SÃO PAULO - VILA PRUDENTE
UAM,SÃO ROQUE
UAM,SÃO SEBASTIÃO - CENTRO
UAM,SÃO VICENTE - CENTRO I
UAM,SETE LAGOAS
UAM,SMART ALPHAVILLE
UAM,SMART BELÉM - NAZARÉ
UAM,SMART BRASÍLIA - ASA SUL
UAM,SMART CAMPO GRANDE - VILA MANOEL
UAM,SMART CUIABÁ - JARDIM MARIANA
UAM,SMART FORTALEZA - ALDEOTA
UAM,SMART ITAJUBÁ
UAM,SMART RIO BRANCO - HABITASA
UAM,SMART SÃO PAULO - BOM RETIRO
UAM,SMART SÃO PAULO - SACOMÃ
UAM,SMART SERRA
UAM,SMART SOROCABA
UAM,SMART VALE DO ANHANGABAÚ
UAM,SMART VÁRZEA PAULISTA
UAM,SMART VITÓRIA
UAM,SOCORRO - CENTRO
UAM,SOROCABA - SANTA ROSÁLIA
UAM,SUMARÉ - CENTRO
UAM,SUZANO
UAM,TABOÃO DA SERRA
UAM,TATUÍ
UAM,TAUBATÉ
UAM,TIETÊ
UAM,UAM LIVE
UAM,UBERABA - CENTRO
UAM,UBERLÂNDIA - LÍDICE
UAM,UNIDADE ACADÊMICA AVENIDA PAULISTA
UAM,UNIDADE ACADÊMICA CENTRO - MOOCA
UAM,UNIDADE ACADÊMICA PIRACICABA
UAM,UNIDADE ACADÊMICA SÃO JOSÉ DOS CAMPOS
UAM,UNIDADE ACADÊMICA VILA OLÍMPIA
UAM,VALINHOS - CENTRO
UAM,VARGEM GRANDE PAULISTA
UAM,VARGINHA - CAMPOS ELISEOS
UAM,VILA OLÍMPIA
UAM,VILA VELHA
UAM,VILA VELHA (MA)
UAM,VINHEDO - CENTRO
UAM,VOTORANTIM - CENTRO
UAM,VOTUPORANGA - CENTRO
UNA,ÁGUAS LINDAS DE GOIÁS - JARDIM DA BARRAGEM II
UNA,AIMORÉS
UNA,ANÁPOLIS - JUNDIAÍ
UNA,ARAGUARI - CENTRO
UNA,BARBACENA - CENTRO
UNA,BARREIRO
UNA,BELO HORIZONTE - AFONSO VAZ DE MELO
UNA,BELO HORIZONTE - AIMORÉS
UNA,BELO HORIZONTE - BARRO PRETO
UNA,BELO HORIZONTE - BURITIS
UNA,BELO HORIZONTE - CARLOS PRATES II
UNA,BELO HORIZONTE - CASTELO I
UNA,BELO HORIZONTE - CENTRO II
UNA,BELO HORIZONTE - CRISTIANO MACHADO
UNA,BELO HORIZONTE - LINHA VERDE
UNA,BELO HORIZONTE - NOVA SUÍÇA
UNA,BELO HORIZONTE - PAMPULHA I
UNA,BELO HORIZONTE - SAGRADA FAMÍLIA
UNA,BETIM
UNA,BETIM - CENTRO
UNA,BETIM - GOVERNADOR VALADARES
UNA,BOM DESPACHO
UNA,BOM DESPACHO - SÃO GERALDO
UNA,BRASÍLIA - ÁGUAS CLARAS I
UNA,CATALÃO - DONA MATILDE
UNA,CONSELHEIRO LAFAIETE
UNA,CONSELHEIRO LAFAIETE - CAMPO ALEGRE
UNA,CONSELHEIRO LAFAIETE - CENTRO L
UNA,CONTAGEM
UNA,CONTAGEM - BITÁCULA
UNA,CONTAGEM - CABRAL
UNA,CONTAGEM - ELDORADO
UNA,CRISTIANO MACHADO
UNA,CURVELO - CENTRO I
UNA,DIVINÓPOLIS
UNA,DIVINÓPOLIS - CORONEL JOÃO NOTINI
UNA,GOIÂNIA - CENTRO I
UNA,IPATINGA - IGUAÇU
UNA,ITABIRA
UNA,ITABIRA - JARDIM GABIROBA
UNA,ITABIRA - SIZENANDO DE BARROS
UNA,ITAÚNA - CENTRO
UNA,ITUMBIARA
UNA,ITUMBIARA - NOVO HORIZONTE
UNA,JATAÍ
UNA,JATAÍ - EPAMINONDAS II
UNA,JOÃO MONLEVADE - GETÚLIO VARGAS
UNA,JUIZ DE FORA - MORRO DA GLÓRIA
UNA,JUIZ DE FORA - SÃO MATEUS
UNA,KARAÍBA
UNA,LEOPOLDINA - CENTRO
UNA,LIBERDADE
UNA,LINHA VERDE
UNA,MONTES CLAROS - CENTRO I
UNA,NÃO INFORMADO
UNA,NOVA SERRANA - CENTRO I
UNA,PASSOS - BELA VISTA
UNA,PATOS DE MINAS - CENTRO I
UNA,PEDRO LEOPOLDO - CENTRO
UNA,POUSO ALEGRE
UNA,POUSO ALEGRE - FOCH
UNA,POUSO ALEGRE - JOÃO BASÍLIO
UNA,RIBEIRÃO DAS NEVES - CENTRO (JUSTINÓPOLIS)
UNA,SANTA CRUZ
UNA,SANTA LUZIA
UNA,SETE LAGOAS
UNA,SETE LAGOAS - SANTO ANTÔNIO
UNA,TEÓFILO OTONI - CENTRO
UNA,TUCURUÍ
UNA,UBERABA - ABADIA
UNA,UBERABA - CENTRO
UNA,UBERLÂNDIA - CENTRO
UNA,UBERLÂNDIA - JARDIM KARAÍBA
UNA,UBERLÂNDIA - LÍDICE
UNA,UBERLÂNDIA - TIBERY
UNA,UNA LIVE
UNA,UNIDADE ACADÊMICA AIMORÉS
UNA,UNIDADE ACADÊMICA BARREIRO
UNA,UNIDADE ACADÊMICA BETIM
UNA,UNIDADE ACADÊMICA CONSELHEIRO LAFAIETE
UNA,UNIDADE ACADÊMICA CONTAGEM
UNA,UNIDADE ACADÊMICA CRISTIANO MACHADO
UNA,UNIDADE ACADÊMICA DE BOM DESPACHO
UNA,UNIDADE ACADÊMICA DIVINÓPOLIS
UNA,UNIDADE ACADÊMICA ITABIRA
UNA,UNIDADE ACADÊMICA ITUMBIARA
UNA,UNIDADE ACADÊMICA JATAÍ
UNA,UNIDADE ACADÊMICA KARAÍBA
UNA,UNIDADE ACADÊMICA LINHA VERDE
UNA,UNIDADE ACADÊMICA POUSO ALEGRE
UNA,UNIDADE ACADÊMICA SANTA CRUZ
UNA,UNIDADE ACADÊMICA SETE LAGOAS
UNA,VARGINHA - VILA PINTO
UNA,VESPASIANO - CENTRO I
UNIBH,CRISTIANO MACHADO
UNIBH,ESTORIL
UNIBH,UNIBH LIVE
UNIBH,UNIDADE ACADÊMICA ESTORIL
UNICURITIBA,MILTON VIANA
UNICURITIBA,MILTON VIANNA FILHO
UNICURITIBA,UNICURITIBA LIVE
UNICURITIBA,UNIDADE ACADÊMICA MILTON VIANA
UNIFACS,ALAGOINHAS
UNIFACS,BOA VISTA
UNIFACS,CAMAÇARI
UNIFACS,CAMPINA GRANDE - CENTRO L
UNIFACS,CANDEIAS - CENTRO
UNIFACS,DIAS D'ÁVILA - CENTRO
UNIFACS,FEIRA DE SANTANA
UNIFACS,FEIRA DE SANTANA - CENTRO I
UNIFACS,GUANAMBI
UNIFACS,IBOTIRAMA
UNIFACS,ILHÉUS
UNIFACS,IRAMAIA
UNIFACS,ITABERABA
UNIFACS,ITABUNA
UNIFACS,JABOATÃO DOS GUARARAPES - PIEDADE
UNIFACS,JACOBINA
UNIFACS,JAGUAQUARA
UNIFACS,LAPA
UNIFACS,LAURO DE FREITAS
UNIFACS,MANAUS - PLAZA SHOPPING
UNIFACS,OLINDA - CASA CAIADA
UNIFACS,PAULO AFONSO - VILA POTY
UNIFACS,PORTO SEGURO
UNIFACS,PROFESSOR BARROS
UNIFACS,RECIFE - CENTRO
UNIFACS,SALVADOR - CAJAZEIRAS
UNIFACS,SALVADOR - IGUATEMI
UNIFACS,SALVADOR - LAPA
UNIFACS,SALVADOR - PARALELA
UNIFACS,SALVADOR - SUBURBANA
UNIFACS,SALVADOR - TANCREDO NEVES
UNIFACS,SANTA INÊS
UNIFACS,SANTA MÔNICA
UNIFACS,SANTO AMARO
UNIFACS,SANTO ANTÔNIO DE JESUS
UNIFACS,SEABRA
UNIFACS,SMART ARACAJU - LUZIA
UNIFACS,SMART FORTALEZA - ALDEOTA
UNIFACS,TANCREDO NEVES
UNIFACS,UNIDADE ACADÊMICA LAPA
UNIFACS,UNIDADE ACADÊMICA PROFESSOR BARROS
UNIFACS,UNIDADE ACADÊMICA SANTA MÔNICA
UNIFACS,UNIDADE ACADÊMICA TANCREDO NEVES
UNIFACS,UNIFACS LIVE
UNIFACS,VITÓRIA DA CONQUISTA
UNIFACS,XIQUE-XIQUE
UNIFG,BRUMADO
UNIFG,CARUARU - NOSSA SENHORA DAS DORES
UNIFG,JABOATÃO DOS GUARARAPES - CENTRO II
UNIFG,JABOATÃO DOS GUARARAPES - PIEDADE
UNIFG,MACEIÓ - CENTRO
UNIFG,NÃO INFORMADO
UNIFG,OLINDA - CASA CAIADA
UNIFG,PAULISTA - CENTRO
UNIFG,RECIFE - CENTRO
UNIFG,SÃO SEBASTIÃO
UNIFG,SMART RECIFE - IMBIRIBEIRA
UNIFGUA,BOA VISTA
UNIFGUA,FG LIVE
UNIFGUA,PIEDADE
UNIFGUA,UNIDADE ACADÊMICA BOA VISTA
UNIFGUA,UNIDADE ACADÊMICA PIEDADE
UNIRITTER,ALVORADA - CENTRO
UNIRITTER,ARROIO DOS RATOS
UNIRITTER,BENTO GONÇALVES - CENTRO
UNIRITTER,BUTIÁ - CENTRO
UNIRITTER,CANOAS
UNIRITTER,CANOAS - CENTRO
UNIRITTER,CANOAS - NITERÓI
UNIRITTER,CAPÃO DA CANOA - CENTRO I
UNIRITTER,CAXIAS DO SUL
UNIRITTER,CHARQUEADAS
UNIRITTER,CRICIÚMA - CENTRO
UNIRITTER,ERECHIM - CENTRO
UNIRITTER,ESTEIO
UNIRITTER,FAPA
UNIRITTER,FARROUPILHA - CENTRO II
UNIRITTER,FREDERICO WESTPHALEN - CENTRO
UNIRITTER,GRAVATAÍ
UNIRITTER,GRAVATAÍ - CENTRO II
UNIRITTER,GUAÍBA - CENTRO I
UNIRITTER,MONTENEGRO
UNIRITTER,NOVO HAMBURGO
UNIRITTER,OSÓRIO - CENTRO
UNIRITTER,PAROBÉ - CENTRO
UNIRITTER,PELOTAS - CENTRO
UNIRITTER,PELOTAS - CENTRO (MA)
UNIRITTER,PORTÃO - CENTRO
UNIRITTER,PORTO ALEGRE - BOA VISTA
UNIRITTER,PORTO ALEGRE - CAVALHADA II
UNIRITTER,PORTO ALEGRE - CENTRO
UNIRITTER,PORTO ALEGRE - CRISTO REDENTOR
UNIRITTER,PORTO ALEGRE - MENINO DEUS
UNIRITTER,PORTO ALEGRE - ORFANOTRÓFIO
UNIRITTER,PORTO ALEGRE - PROTÁSIO ALVES
UNIRITTER,PORTO ALEGRE - SERTÓRIO
UNIRITTER,PORTO ALEGRE - ZONA NORTE
UNIRITTER,PORTO ALEGRE - ZONA SUL I
UNIRITTER,SANTA MARIA
UNIRITTER,SANTIAGO - CENTRO
UNIRITTER,SÃO LEOPOLDO
UNIRITTER,SÃO LEOPOLDO - CENTRO II
UNIRITTER,SÃO LEOPOLDO - IMPERATRIZ
UNIRITTER,SAPUCAIA DO SUL
UNIRITTER,SMART PORTO ALEGRE
UNIRITTER,SMART PORTO ALEGRE - FAPA
UNIRITTER,SMART RIO GRANDE
UNIRITTER,TEUTÔNIA
UNIRITTER,TRAMANDAÍ - CENTRO
UNIRITTER,TRIUNFO - CENTRO
UNIRITTER,UNIDADE ACADÊMICA CANOAS
UNIRITTER,UNIDADE ACADÊMICA FAPA
UNIRITTER,UNIDADE ACADÊMICA ZONA SUL
UNIRITTER,UNIRITTER LIVE
UNIRITTER,VIAMÃO
UNIRITTER,VIAMÃO - CENTRO
UNIRITTER,ZONA SUL
UNISOCIESC,ANITA GARIBALDI
UNISOCIESC,BLUMENAU
UNISOCIESC,BLUMENAU - CENTRO
UNISOCIESC,BLUMENAU - JARDIM BLUMENAU
UNISOCIESC,JARAGUÁ DO SUL - CENTRO
UNISOCIESC,JARAGUÁ DO SUL - PARK SHOPPING
UNISOCIESC,JOINVILLE - ANITA GARIBALDI
UNISOCIESC,JOINVILLE - CAMPUS PARK
UNISOCIESC,MAFRA - CENTRO I BAIXADA
UNISOCIESC,NÃO INFORMADO
UNISOCIESC,PARK SHOPPING
UNISOCIESC,POLO BITURUNA
UNISOCIESC,POLO CAPIVARI DE BAIXO
UNISOCIESC,POLO CARLÓPOLIS
UNISOCIESC,POLO CASCAVEL
UNISOCIESC,POLO FLORIANÓPOLIS/MANHÃ
UNISOCIESC,POLO FLORIANÓPOLIS/NOITE
UNISOCIESC,POLO FRANCISCO BELTRÃO
UNISOCIESC,POLO ITAJAÍ/NOITE
UNISOCIESC,POLO JARAGUÁ DO SUL/NOITE
UNISOCIESC,POLO JOINVILLE
UNISOCIESC,POLO PATO BRANCO
UNISOCIESC,POLO PORTO ALEGRE
UNISOCIESC,POLO SÃO BENTO DO SUL/NOITE
UNISOCIESC,RIO DO SUL - CANOAS
UNISOCIESC,SÃO BENTO DO SUL
UNISOCIESC,SÃO BENTO DO SUL - ANTÔNIO KAESEMODEL
UNISOCIESC,SOCIESC LIVE
UNISOCIESC,TIMBÓ
UNISOCIESC,UNIDADE ACADÊMICA ANITA GARIBALDI
UNISOCIESC,UNIDADE ACADÊMICA BLUMENAU
UNISOCIESC,UNIDADE ACADÊMICA SÃO BENTO DO SUL
UNISOCIESC,UNIDADE ACADÊMICA SHOPPING
UNISUL,ARARANGUÁ
UNISUL,ARARANGUÁ - CENTRO
UNISUL,ARARANGUÁ - JARDIM DAS AVENIDAS
UNISUL,BALNEÁRIO CAMBORIÚ - CENTRO II
UNISUL,BIGUAÇU - CENTRO
UNISUL,BLUMENAU - CENTRO III
UNISUL,BRAÇO DO NORTE
UNISUL,CAMPINAS - CENTRO
UNISUL,CHAPECÓ - JARDIM ITÁLIA
UNISUL,CONTINENTE
UNISUL,CRICIÚMA
UNISUL,CRICIÚMA - CEARÁ
UNISUL,CRICIÚMA - CENTRO II
UNISUL,FEIRA DE SANTANA - CENTRO I
UNISUL,FLORIANÓPOLIS - CENTRO
UNISUL,FLORIANÓPOLIS - CONTINENTE
UNISUL,FLORIANÓPOLIS - DIB MUSSI
UNISUL,FLORIANÓPOLIS - INGLESES
UNISUL,FLORIANÓPOLIS ILHA
UNISUL,GRANDE FPOLIS PALHOÇA
UNISUL,IÇARA
UNISUL,ILHA
UNISUL,ITAJAÍ
UNISUL,ITAJAÍ - CENTRO
UNISUL,ITAJAÍ - CENTRO II
UNISUL,ITAPEMA - MEIA PRAIA
UNISUL,JUNDIAÍ - CENTRO
UNISUL,LAGES - CTP
UNISUL,LONDRINA - PALHANO
UNISUL,MARAVILHA - CENTRO
