,Chave,UC,Tipo de UC,Semestre,Modelo,Marca,Base de Alunos,Máximo de Alunos,Tipo de CH,Ator Pedagógico
74,USJT - UC14 - ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC14,UC (4-8),7,Semi Presencial 30.20 Bacharelado,USJT,23,120.0,Presencial,Mediador Presencial
75,USJT - UC14 - BIOMEDICINA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC14,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,25,120.0,Presencial,Mediador Presencial
76,USJT - UC14 - BIOMEDICINA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC14,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,20,120.0,Presencial,Mediador Presencial
77,USJT - UC14 - CIÊNCIAS CONTÁBEIS - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC14,UC (4-8),7,Semi Presencial 30.20 Bacharelado,USJT,21,120.0,Presencial,Mediador Presencial
78,USJT - UC14 - CIÊNCIAS CONTÁBEIS - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC14,UC (4-8),7,Semi Presencial 30.20 Bacharelado,USJT,19,120.0,Presencial,Mediador Presencial
79,USJT - UC14 - EDUCAÇÃO FÍSICA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC14,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,18,120.0,Presencial,Mediador Presencial
80,USJT - UC14 - EDUCAÇÃO FÍSICA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC14,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,20,120.0,Presencial,Mediador Presencial
81,USJT - UC14 - ENGENHARIA CIVIL - Semi Presencial 40.20 Bacharelado - AMERICANA : JARDIM GIRASSOL,UC14,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,24,120.0,Presencial,Mediador Presencial
82,USJT - UC14 - ENGENHARIA CIVIL - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC14,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,25,120.0,Presencial,Mediador Presencial
83,USJT - UC14 - ENGENHARIA CIVIL - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC14,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,17,120.0,Presencial,Mediador Presencial
84,USJT - UC14 - ENGENHARIA DE PRODUÇÃO - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC14,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,24,120.0,Presencial,Mediador Presencial
85,USJT - UC14 - ENGENHARIA DE PRODUÇÃO - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC14,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,23,120.0,Presencial,Mediador Presencial
86,USJT - UC14 - ENGENHARIA ELÉTRICA - Semi Presencial 40.20 Bacharelado - AMERICANA : JARDIM GIRASSOL,UC14,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,20,120.0,Presencial,Mediador Presencial
87,USJT - UC14 - ENGENHARIA ELÉTRICA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC14,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,22,120.0,Presencial,Mediador Presencial
88,USJT - UC14 - ENGENHARIA MECÂNICA - Semi Presencial 40.20 Bacharelado - AMERICANA : JARDIM GIRASSOL,UC14,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,22,120.0,Presencial,Mediador Presencial
89,USJT - UC14 - ENGENHARIA MECÂNICA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC14,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,28,120.0,Presencial,Mediador Presencial
90,USJT - UC14 - FARMÁCIA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC14,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,19,120.0,Presencial,Mediador Presencial
91,USJT - UC14 - FARMÁCIA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC14,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,21,120.0,Presencial,Mediador Presencial
92,USJT - UC14 - FISIOTERAPIA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC14,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,22,120.0,Presencial,Mediador Presencial
93,USJT - UC14 - FISIOTERAPIA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC14,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,19,120.0,Presencial,Mediador Presencial
94,USJT - UC14 - NUTRIÇÃO - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC14,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,23,120.0,Presencial,Mediador Presencial
95,USJT - UC14 - NUTRIÇÃO - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC14,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,26,120.0,Presencial,Mediador Presencial
96,USJT - UC15 - ADMINISTRAÇÃO - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC15,UC (4-8),8,Semi Presencial 30.20 Bacharelado,USJT,32,120.0,Presencial,Mediador Presencial
97,USJT - UC15 - ADMINISTRAÇÃO - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC15,UC (4-8),8,Semi Presencial 30.20 Bacharelado,USJT,34,120.0,Presencial,Mediador Presencial
98,USJT - UC15 - ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - Semi Presencial 30.20 Bacharelado - AMERICANA : JARDIM GIRASSOL,UC15,UC (4-8),8,Semi Presencial 30.20 Bacharelado,USJT,40,120.0,Presencial,Mediador Presencial
99,USJT - UC15 - ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC15,UC (4-8),8,Semi Presencial 30.20 Bacharelado,USJT,28,120.0,Presencial,Mediador Presencial
100,USJT - UC15 - ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC15,UC (4-8),8,Semi Presencial 30.20 Bacharelado,USJT,32,120.0,Presencial,Mediador Presencial
101,USJT - UC15 - BIOMEDICINA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC15,UC (7-9),8,Semi Presencial 40.20 Bacharelado,USJT,35,120.0,Presencial,Mediador Presencial
102,USJT - UC15 - BIOMEDICINA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC15,UC (7-9),8,Semi Presencial 40.20 Bacharelado,USJT,29,120.0,Presencial,Mediador Presencial
103,USJT - UC15 - CIÊNCIAS CONTÁBEIS - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC15,UC (4-8),8,Semi Presencial 30.20 Bacharelado,USJT,32,120.0,Presencial,Mediador Presencial
104,USJT - UC15 - CIÊNCIAS CONTÁBEIS - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC15,UC (4-8),8,Semi Presencial 30.20 Bacharelado,USJT,37,120.0,Presencial,Mediador Presencial
105,USJT - UC15 - EDUCAÇÃO FÍSICA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC15,UC (7-9),8,Semi Presencial 40.20 Bacharelado,USJT,28,120.0,Presencial,Mediador Presencial
106,USJT - UC15 - EDUCAÇÃO FÍSICA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC15,UC (7-9),8,Semi Presencial 40.20 Bacharelado,USJT,31,120.0,Presencial,Mediador Presencial
107,USJT - UC15 - ENGENHARIA CIVIL - Semi Presencial 40.20 Bacharelado - AMERICANA : JARDIM GIRASSOL,UC15,UC (7-9),8,Semi Presencial 40.20 Bacharelado,USJT,32,120.0,Presencial,Mediador Presencial
108,USJT - UC15 - ENGENHARIA CIVIL - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC15,UC (7-9),8,Semi Presencial 40.20 Bacharelado,USJT,33,120.0,Presencial,Mediador Presencial
